player_id,name,current_club_id,country_of_citizenship,date_of_birth,position,foot,height_in_cm
164904,Mory Diaw,3524,Senegal,1993-06-22,Goalkeeper,Right,195
98349,Romain Hamouma,1147,France,1987-03-29,Attack,Right,179
1053240,Moussa Soumano,1147,France,2005-07-09,Attack,,0
618463,Lucas Margueron,3524,France,2001-02-12,Goalkeeper,Right,194
627163,Mounaïm El Idrissy,1147,France,1999-02-10,Attack,Right,181
557939,Neto Borges,3524,Brazil,1996-09-13,Defender,Left,185
119104,Riad Nouri,1147,France,1985-06-07,Attack,Right,178
267147,Cyrille Bayala,1147,Burkina Faso,1996-05-24,Attack,Right,181
369267,Maximiliano Caufriez,3524,Belgium,1997-02-16,Defender,Right,189
649457,Jean Botué,1147,Burkina Faso,2002-08-07,Attack,Left,184
371554,Kevin Spadanuda,1147,Switzerland,1997-01-16,Attack,Right,177
175014,Youcef Belaïli,1147,Algeria,1992-03-14,Attack,Right,182
149518,Michaël Barreto,1147,France,1991-01-18,Attack,Right,175
801754,Yanis Cimignani,1147,France,2002-01-22,Midfield,Left,176
399776,Pau Torres,1050,Spain,1997-01-16,Defender,Left,191
39914,Mathieu Coutadeur,1147,France,1986-03-20,Midfield,Right,169
18934,Thomas Mangani,1147,France,1987-04-29,Midfield,Left,183
374040,Vincent Marchetti,1147,France,1997-07-04,Midfield,Left,181
57482,Mohamed Youssouf,1147,Comoros,1988-03-26,Defender,Right,169
172153,Mickaël Alphonse,1147,Guadeloupe,1989-07-12,Defender,Right,182
178540,Chaker Alhadhur,1147,Comoros,1991-12-04,Defender,Right,172
375881,Ismaël Diallo,1147,Cote d'Ivoire,1997-01-29,Defender,Left,178
594993,Ouparine Djoco,3524,France,1998-04-22,Goalkeeper,Left,188
44421,Cédric Avinel,1147,Guadeloupe,1986-09-11,Defender,Right,187
274484,Youssouf Koné,1147,Mali,1995-07-05,Defender,Left,174
413245,Fernand Mayembo,1147,Congo,1996-01-09,Defender,Right,184
591796,Moussa Djitté,1147,Senegal,1999-10-04,Attack,Right,180
388795,Oumar Gonzalez,1147,Cameroon,1998-02-25,Defender,Right,186
798404,Alidu Seidu,3524,Ghana,2000-06-04,Defender,Right,173
124901,Benjamin Leroy,1147,France,1989-04-07,Goalkeeper,Right,184
433049,Youssef En-Nesyri,368,Morocco,1997-06-01,Attack,Left,192
111961,Suso,368,Spain,1993-11-19,Attack,Left,177
418662,Florian Chabrolle,1147,France,1998-04-07,Attack,Right,171
125165,Tecatito,368,Mexico,1993-01-06,Attack,Both,173
20005,Papu Gómez,368,Argentina,1988-02-15,Attack,Right,167
537382,Bryan Gil,368,Spain,2001-02-11,Attack,Left,175
331977,François-Joseph Sollacaro,1147,France,1994-03-21,Goalkeeper,Right,182
569388,Clément Vidal,1147,France,2000-06-18,Defender,Right,181
281704,Alassane N'Diaye,1147,France,1991-06-14,Midfield,Right,180
263727,Joan Jordán,368,Spain,1994-07-06,Midfield,Right,185
51174,Fernando,368,Brazil,1987-07-25,Midfield,Right,183
74294,Nemanja Gudelj,368,Serbia,1991-11-16,Midfield,Right,187
485963,Pape Gueye,368,Senegal,1999-01-24,Midfield,Left,189
1108145,Cheick Oumar Konaté,3524,Mali,2004-04-02,Defender,,173
402733,Gonzalo Montiel,368,Argentina,1997-01-01,Defender,Right,175
60410,Marcos Acuña,368,Argentina,1991-10-28,Defender,Left,172
255755,Alex Telles,368,Brazil,1992-12-15,Defender,Left,181
182579,Karim Rekik,368,Netherlands,1994-12-02,Defender,Left,186
538996,Tanguy Nianzou,368,France,2002-06-07,Defender,Right,191
439022,Marcão,368,Brazil,1996-06-05,Defender,Left,185
111630,Erik Lamela,368,Argentina,1992-03-04,Attack,Left,184
94308,Marko Dmitrović,368,Serbia,1992-01-24,Goalkeeper,Left,189
207834,Bono,368,Morocco,1991-04-05,Goalkeeper,Left,192
730581,Loïc Badé,368,France,2000-04-11,Defender,Right,191
32467,Ivan Rakitic,368,Croatia,1988-03-10,Midfield,Right,184
15956,Jesús Navas,368,Spain,1985-11-21,Defender,Right,172
214775,Óliver Torres,368,Spain,1994-11-10,Midfield,Right,175
645601,Ruan Levine,1147,Brazil,1999-01-19,Attack,Right,177
189441,Lucas Ocampos,368,Argentina,1994-07-11,Attack,Both,187
255508,Iñaki Williams,621,Ghana,1994-06-15,Attack,Right,186
455349,Jon Morcillo,621,Spain,1998-09-15,Attack,Left,183
338425,Álex Berenguer,621,Spain,1995-07-04,Attack,Right,175
178425,Dani García,621,Spain,1990-05-24,Midfield,Right,179
99343,Ander Herrera,621,Spain,1989-08-14,Midfield,Right,182
524010,Oier Zarraga,621,Spain,1999-01-04,Midfield,Right,175
709187,Nico Williams,621,Spain,2002-07-12,Attack,Right,181
610083,Unai Vencedor,621,Spain,2000-11-15,Midfield,Right,176
96718,Óscar de Marcos,621,Spain,1989-04-14,Defender,Right,182
255501,Iñigo Lekue,621,Spain,1993-05-04,Defender,Right,180
85258,Mikel Balenziaga,621,Spain,1988-02-29,Defender,Left,177
61812,Yuri Berchiche,621,Spain,1990-02-10,Defender,Left,181
855050,Ghjuvanni Quilichini,1147,France,2002-09-01,Goalkeeper,,182
524000,Dani Vivian,621,Spain,1999-07-05,Defender,Right,184
255488,Yeray Álvarez,621,Spain,1995-01-24,Defender,Right,182
158863,Iñigo Martínez,621,Spain,1991-05-17,Defender,Left,182
480958,Ander Iru,621,Spain,1998-08-22,Goalkeeper,Left,188
591916,Aitor Paredes,621,Spain,2000-04-29,Defender,Right,185
262396,Unai Simón,621,Spain,1997-06-11,Goalkeeper,Right,190
227961,Jaime Mata,3709,Spain,1988-10-24,Attack,Right,186
298976,Borja Mayoral,3709,Spain,1997-04-05,Attack,Right,182
251106,Enes Ünal,3709,Turkey,1997-05-10,Attack,Right,187
625014,Julen Agirrezabala,621,Spain,2000-12-26,Goalkeeper,Left,187
571020,Oihan Sancet,621,Spain,2000-04-25,Attack,Right,188
340867,Jaime Seoane,3709,Spain,1997-01-22,Midfield,Right,177
398163,Gonzalo Villar,3709,Spain,1998-03-23,Midfield,Right,181
273152,Nemanja Maksimović,3709,Serbia,1995-01-26,Midfield,Right,184
284854,Carles Aleñá,3709,Spain,1998-01-05,Midfield,Left,180
290249,Mauro Arambarri,3709,Uruguay,1995-09-30,Midfield,Right,175
638589,Ángel Algobia,3709,Spain,1999-06-23,Midfield,Right,188
