game_id,competition_id,season,date,home_club_id,away_club_id,home_club_goals,away_club_goals,stadium,attendance
2331035,FR1,2013,2014-02-08,855,1421,1,2,Stade du Roudourou,12953
2331034,FR1,2013,2014-02-08,1147,273,3,1,Stade François-Coty,5981
2331033,FR1,2013,2014-02-08,969,14171,1,1,Stade de la Mosson,12281
2331030,FR1,2013,2014-02-08,1423,417,2,1,Stade du Hainaut,12186
2331084,FR1,2013,2014-02-15,750,855,1,0,Stade Auguste-Bonal,12349
2331000,FR1,2013,2014-02-02,244,415,2,2,Orange Vélodrome,33041
2331031,FR1,2013,2014-02-25,40,1158,3,2,Matmut Atlantique,12279
2331017,FR1,2013,2014-02-02,273,1041,2,0,Roazhon Park,20546
2331083,FR1,2013,2014-02-16,1041,1147,3,1,Stade de Gerland,35103
2331010,FR1,2013,2014-02-01,1421,969,2,4,Stade Auguste-Delaune,13803
2331008,FR1,2013,2014-02-01,14171,1147,1,1,Parc des Sports d’Annecy,10138
2331038,FR1,2013,2014-02-08,1082,750,2,0,Decathlon Arena-Stade Pierre-Mauroy,34841
2330999,FR1,2013,2014-02-01,750,995,1,0,Stade Auguste-Bonal,12269
2331014,FR1,2013,2014-02-02,417,1082,1,0,Allianz Riviera,21953
2331012,FR1,2013,2014-01-31,583,40,2,0,Parc des Princes,45292
2331020,FR1,2013,2014-02-11,415,595,1,3,Stadium Municipal,11027
2330997,FR1,2013,2014-01-26,162,244,2,0,Stade Louis-II,11284
2331005,FR1,2013,2014-01-26,40,618,2,0,Matmut Atlantique,19824
2331002,FR1,2013,2014-01-26,1041,14171,3,0,Stade de Gerland,34929
2331036,FR1,2013,2014-02-07,415,618,0,0,Stadium Municipal,12123
2331011,FR1,2013,2014-01-25,1147,750,1,1,Stade François-Coty,5924
2331004,FR1,2013,2014-01-25,969,417,3,1,Stade de la Mosson,13349
2331044,FR1,2013,2014-02-08,244,595,3,0,Orange Vélodrome,36240
2331003,FR1,2013,2014-01-25,1423,1158,1,1,Stade du Hainaut,11816
2330998,FR1,2013,2014-01-24,1082,273,1,1,Decathlon Arena-Stade Pierre-Mauroy,35706
2331007,FR1,2013,2014-01-25,995,1421,0,0,Stade de la Beaujoire,19804
2331095,FR1,2013,2014-02-15,595,162,0,2,Stade Armand-Cesari,13816
2331009,FR1,2013,2014-02-01,1158,162,2,2,Stade du Moustoir,14050
2331023,FR1,2013,2014-01-19,415,162,0,2,Stadium Municipal,16163
2331026,FR1,2013,2014-01-19,1421,1041,0,2,Stade Auguste-Delaune,17262
2331013,FR1,2013,2014-02-01,595,855,3,2,Stade Armand-Cesari,12241
2331021,FR1,2013,2014-01-18,1158,855,2,0,Stade du Moustoir,15000
2331018,FR1,2013,2014-01-18,273,14171,0,0,Roazhon Park,13391
2331016,FR1,2013,2014-01-18,595,40,1,0,Stade Armand-Cesari,12778
2331006,FR1,2013,2014-01-25,855,583,1,1,Stade du Roudourou,17623
2331015,FR1,2013,2014-01-18,417,1147,2,0,Allianz Riviera,18629
2331025,FR1,2013,2014-01-29,244,1423,2,1,Orange Vélodrome,35741
2331022,FR1,2013,2014-01-17,618,1082,2,0,Stade Geoffroy-Guichard,26887
2330981,FR1,2013,2014-01-12,1082,1421,1,2,Decathlon Arena-Stade Pierre-Mauroy,36287
2330986,FR1,2013,2014-01-12,995,1158,1,0,Stade de la Beaujoire,26336
2331086,FR1,2013,2014-02-15,417,995,0,0,Allianz Riviera,19014
