,club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
22,993,fc-cordoba,Fc Cordoba,ES1,,24,27.1,3,12.5,0,Nuevo Arcángel,21822,+-0,Albert Ferrer,https://www.transfermarkt.co.uk/fc-cordoba/startseite/verein/993
28,1429,cesena-fc,Cesena Fc,IT1,,26,25.0,4,15.4,0,Orogel Stadium - Dino Manuzzi,23860,+€335k,Pierpaolo Bisoli,https://www.transfermarkt.co.uk/cesena-fc/startseite/verein/1429
31,1039,queens-park-rangers,Queens Park Rangers,GB1,,30,25.0,18,60.0,8,Loftus Road Stadium,18360,+€900k,Harry Redknapp,https://www.transfermarkt.co.uk/queens-park-rangers/startseite/verein/1039
32,14171,thonon-evian-grand-geneve-fc,Thonon Evian Grand Geneve Fc,FR1,,28,27.0,6,21.4,1,Stade Joseph-Moynat,3600,+-0,Pascal Dupraz,https://www.transfermarkt.co.uk/thonon-evian-grand-geneve-fc/startseite/verein/14171
39,3558,gfc-ajaccio,Gfc Ajaccio,FR1,585.0,22,23.9,2,9.1,0,Stade Ange-Casanova,4050,+-0,Thierry Laurey,https://www.transfermarkt.co.uk/gfc-ajaccio/startseite/verein/3558
43,4102,carpi-fc-1909,Carpi Fc 1909,IT1,1.24,31,22.8,6,19.4,0,Sandro Cabassi,5510,+£540Th.,Fabrizio Castori,https://www.transfermarkt.co.uk/carpi-fc-1909/startseite/verein/4102
52,105,sv-darmstadt-98,Sv Darmstadt 98,L1,15.37,27,24.8,7,25.9,2,Merck-Stadion am Böllenfalltor,17400,+£270Th.,Norbert Meier,https://www.transfermarkt.co.uk/sv-darmstadt-98/startseite/verein/105
55,4795,fc-ingolstadt-04,Fc Ingolstadt 04,L1,11.68,32,25.4,12,37.5,2,Audi Sportpark,15800,£-180Th.,Markus Kauczinski,https://www.transfermarkt.co.uk/fc-ingolstadt-04/startseite/verein/4795
59,2921,delfino-pescara-1936,Delfino Pescara 1936,IT1,5.38,28,24.5,6,21.4,1,Adriatico,20476,+£2.48m,Massimo Oddo,https://www.transfermarkt.co.uk/delfino-pescara-1936/startseite/verein/2921
61,458,palermo-fc,Palermo Fc,IT1,4.39,25,26.2,4,16.0,0,"Comunale Renzo Barbera ""La Favorita""",36365,+£1.89m,Davide Ballardini,https://www.transfermarkt.co.uk/palermo-fc/startseite/verein/458
62,289,afc-sunderland,Afc Sunderland,GB1,16.79,27,24.9,13,48.1,3,Stadium of Light,48707,£-216Th.,Sam Allardyce,https://www.transfermarkt.co.uk/afc-sunderland/startseite/verein/289
63,641,fc-middlesbrough,Fc Middlesbrough,GB1,48.96,26,26.3,9,34.6,5,Riverside Stadium,33746,£-11.30m,Aitor Karanka,https://www.transfermarkt.co.uk/fc-middlesbrough/startseite/verein/641
64,3008,hull-city,Hull City,GB1,19.08,27,24.6,6,22.2,3,KCOM Stadium,24983,£-720Th.,Steve Bruce,https://www.transfermarkt.co.uk/hull-city/startseite/verein/3008
66,1159,as-nancy-lorraine,As Nancy Lorraine,FR1,16.88,30,24.2,16,53.3,4,Stade Marcel-Picot,20087,+-0,Pablo Correa,https://www.transfermarkt.co.uk/as-nancy-lorraine/startseite/verein/1159
67,2448,sporting-gijon,Sporting Gijon,ES1,25.52,26,25.6,6,23.1,4,El Molinón - Enrique Castro Quini,30000,£-225Th.,Abelardo,https://www.transfermarkt.co.uk/sporting-gijon/startseite/verein/2448
68,595,sc-bastia,Sc Bastia,FR1,8.96,28,27.7,7,25.0,2,Stade Armand-Cesari,16480,+-0,François Ciccolini,https://www.transfermarkt.co.uk/sc-bastia/startseite/verein/595
69,41,hamburger-sv,Hamburger Sv,L1,32.9,26,24.0,9,34.6,1,Volksparkstadion,57000,+£4.28m,Markus Gisdol,https://www.transfermarkt.co.uk/hamburger-sv/startseite/verein/41
72,1084,fc-malaga,Fc Malaga,ES1,20.97,28,25.0,6,21.4,0,La Rosaleda,30044,+-0,Míchel,https://www.transfermarkt.co.uk/fc-malaga/startseite/verein/1084
81,897,deportivo-la-coruna,Deportivo La Coruna,ES1,6.95,24,26.2,3,12.5,0,Riazor,32912,+£1.53m,Pepe Mel,https://www.transfermarkt.co.uk/deportivo-la-coruna/startseite/verein/897
82,472,ud-las-palmas,Ud Las Palmas,ES1,20.7,27,25.9,6,22.2,1,Estadio de Gran Canaria,32400,+£1.30m,Manolo Márquez,https://www.transfermarkt.co.uk/ud-las-palmas/startseite/verein/472
83,512,stoke-city,Stoke City,GB1,53.55,29,26.1,14,48.3,7,bet365 Stadium,30089,+£8.42m,Mark Hughes,https://www.transfermarkt.co.uk/stoke-city/startseite/verein/512
84,2288,swansea-city,Swansea City,GB1,35.06,23,24.8,21,91.3,3,Liberty Stadium,21088,£-761Th.,Paul Clement,https://www.transfermarkt.co.uk/swansea-city/startseite/verein/2288
92,862,chievo-verona,Chievo Verona,IT1,,0,,0,,0,Marcantonio Bentegodi,31045,+£90Th.,Lorenzo D'Anna,https://www.transfermarkt.co.uk/chievo-verona/startseite/verein/862
94,8970,frosinone-calcio,Frosinone Calcio,IT1,16.94,30,24.8,11,36.7,1,Benito Stirpe,16227,+£6.49m,Moreno Longo,https://www.transfermarkt.co.uk/frosinone-calcio/startseite/verein/8970
99,855,ea-guingamp,Ea Guingamp,FR1,15.71,26,24.4,7,26.9,4,Stade du Roudourou,18120,+£1.18m,Antoine Kombouaré,https://www.transfermarkt.co.uk/ea-guingamp/startseite/verein/855
100,603,cardiff-city,Cardiff City,GB1,28.44,24,25.6,20,83.3,5,Cardiff City Stadium,33280,+£4.68m,Neil Warnock,https://www.transfermarkt.co.uk/cardiff-city/startseite/verein/603
101,1162,sm-caen,Sm Caen,FR1,18.14,25,26.1,9,36.0,2,Stade Michel-d'Ornano,20500,+£5.85m,Fabien Mercadal,https://www.transfermarkt.co.uk/sm-caen/startseite/verein/1162
102,1110,huddersfield-town,Huddersfield Town,GB1,33.89,27,26.1,10,37.0,2,John Smith's Stadium,24500,+£2.07m,David Wagner,https://www.transfermarkt.co.uk/huddersfield-town/startseite/verein/1110
104,12321,fc-girona,Fc Girona,ES1,25.11,24,25.0,6,25.0,0,Municipal de Montilivi,11286,+£2.75m,Eusebio,https://www.transfermarkt.co.uk/fc-girona/startseite/verein/12321
105,42,hannover-96,Hannover 96,L1,18.79,24,26.9,8,33.3,1,HDI-Arena,49000,+£2.84m,André Breitenreiter,https://www.transfermarkt.co.uk/hannover-96/startseite/verein/42
106,4,1-fc-nurnberg,1 Fc Nurnberg,L1,22.93,28,25.3,5,17.9,1,Max-Morlock-Stadion,50000,+£1.58m,Michael Köllner,https://www.transfermarkt.co.uk/1-fc-nurnberg/startseite/verein/4
111,19,brescia-calcio,Brescia Calcio,IT1,32.4,29,25.6,14,48.3,3,Mario Rigamonti,19550,+£11.75m,Eugenio Corini,https://www.transfermarkt.co.uk/brescia-calcio/startseite/verein/19
112,1005,us-lecce,Us Lecce,IT1,29.61,27,25.8,15,55.6,2,Ettore Giardiniero,31559,+£450Th.,Fabio Liverani,https://www.transfermarkt.co.uk/us-lecce/startseite/verein/1005
113,2722,spal,Spal,IT1,23.78,32,25.9,9,28.1,2,Paolo Mazza,16134,+£9.50m,Leonardo Semplici,https://www.transfermarkt.co.uk/spal/startseite/verein/2722
118,989,afc-bournemouth,Afc Bournemouth,GB1,152.64,30,24.9,13,43.3,9,Vitality Stadium,11329,+£15.21m,Eddie Howe,https://www.transfermarkt.co.uk/afc-bournemouth/startseite/verein/989
119,1244,cd-leganes,Cd Leganes,ES1,32.85,28,27.5,8,28.6,3,Municipal de Butarque,12454,+£2.25m,Mauricio Pellegrino,https://www.transfermarkt.co.uk/cd-leganes/startseite/verein/1244
120,415,fc-toulouse,Fc Toulouse,FR1,24.48,26,23.3,14,53.8,4,Stadium Municipal,33150,+£10.00m,Alain Casanova,https://www.transfermarkt.co.uk/fc-toulouse/startseite/verein/415
121,38,fortuna-dusseldorf,Fortuna Dusseldorf,L1,22.95,28,26.3,8,28.6,3,MERKUR SPIEL-ARENA,54600,£-1.64m,Friedhelm Funkel,https://www.transfermarkt.co.uk/fortuna-dusseldorf/startseite/verein/38
122,1416,amiens-sc,Amiens Sc,FR1,20.97,27,24.7,13,48.1,6,Stade Crédit Agricole la Licorne,12999,+£5.06m,Luka Elsner,https://www.transfermarkt.co.uk/amiens-sc/startseite/verein/1416
123,127,sc-paderborn-07,Sc Paderborn 07,L1,15.48,30,24.9,8,26.7,3,Benteler-Arena,15000,+£3.87m,Steffen Baumgart,https://www.transfermarkt.co.uk/sc-paderborn-07/startseite/verein/127
128,1160,nimes-olympique,Nimes Olympique,FR1,27.95,25,24.0,12,48.0,7,Stade des Costières,18364,+£5.22m,Jérôme Arpinon,https://www.transfermarkt.co.uk/nimes-olympique/startseite/verein/1160
137,4171,benevento-calcio,Benevento Calcio,IT1,27.05,28,26.1,8,28.6,3,Ciro Vigorito,16867,+£1.53m,Filippo Inzaghi,https://www.transfermarkt.co.uk/benevento-calcio/startseite/verein/4171
138,4083,fc-crotone,Fc Crotone,IT1,18.83,29,24.1,13,44.8,5,Ezio Scida,16640,+£6.30m,Giovanni Stroppa,https://www.transfermarkt.co.uk/fc-crotone/startseite/verein/4083
139,130,parma-calcio-1913,Parma Calcio 1913,IT1,51.84,35,25.3,24,68.6,3,Ennio Tardini,22352,£-19.06m,Roberto D'Aversa,https://www.transfermarkt.co.uk/parma-calcio-1913/startseite/verein/130
145,984,west-bromwich-albion,West Bromwich Albion,GB1,77.9,26,26.3,9,34.6,6,The Hawthorns,26850,+£11.20m,Slaven Bilic,https://www.transfermarkt.co.uk/west-bromwich-albion/startseite/verein/984
146,931,fc-fulham,Fc Fulham,GB1,132.3,26,26.7,19,73.1,11,Craven Cottage,19000,£-14.85m,Scott Parker,https://www.transfermarkt.co.uk/fc-fulham/startseite/verein/931
147,1533,sd-eibar,Sd Eibar,ES1,26.82,25,28.9,5,20.0,0,Ipurua,8164,£-3.69m,José Luis Mendilibar,https://www.transfermarkt.co.uk/sd-eibar/startseite/verein/1533
148,366,real-valladolid,Real Valladolid,ES1,42.12,26,27.5,5,19.2,4,Estadio Nuevo José Zorrilla,27618,+£5.85m,Sergio,https://www.transfermarkt.co.uk/real-valladolid/startseite/verein/366
149,5358,sd-huesca,Sd Huesca,ES1,26.64,24,27.6,6,25.0,3,El Alcoraz,9128,+£4.14m,Míchel,https://www.transfermarkt.co.uk/sd-huesca/startseite/verein/5358
150,350,sheffield-united,Sheffield United,GB1,84.69,25,27.0,11,44.0,7,Bramall Lane,32702,+£25.20m,Chris Wilder,https://www.transfermarkt.co.uk/sheffield-united/startseite/verein/350
151,2969,dijon-fco,Dijon Fco,FR1,16.61,24,27.0,11,45.8,4,Stade Gaston-Gérard,16098,+£3.38m,Stéphane Jobard,https://www.transfermarkt.co.uk/dijon-fco/startseite/verein/2969
155,86,sv-werder-bremen,Sv Werder Bremen,L1,35.42,27,24.1,10,37.0,3,Wohninvest-Weserstadion,42100,+£26.64m,Florian Kohfeldt,https://www.transfermarkt.co.uk/sv-werder-bremen/startseite/verein/86
156,33,fc-schalke-04,Fc Schalke 04,L1,29.48,28,26.1,16,57.1,7,Veltins-Arena,62271,+£35.24m,David Wagner,https://www.transfermarkt.co.uk/fc-schalke-04/startseite/verein/33
159,583,fc-paris-saint-germain,Fc Paris Saint Germain,FR1,736.07,33,26.3,24,72.7,18,Parc des Princes,49691,£-70.65m,Mauricio Pochettino,https://www.transfermarkt.co.uk/fc-paris-saint-germain/startseite/verein/583
160,3524,clermont-foot-63,Clermont Foot 63,FR1,47.21,27,26.4,15,55.6,10,Stade Gabriel-Montpied,13000,+-0,Pascal Gastien,https://www.transfermarkt.co.uk/clermont-foot-63/startseite/verein/3524
161,347,fc-metz,Fc Metz,FR1,70.16,31,25.5,18,58.1,7,Stade Saint-Symphorien,26700,+£17.10m,László Bölöni,https://www.transfermarkt.co.uk/fc-metz/startseite/verein/347
163,65,spvgg-greuther-furth,Spvgg Greuther Furth,L1,28.89,28,24.9,11,39.3,2,Sportpark Ronhof | Thomas Sommer,16626,+£1.94m,Stefan Leitl,https://www.transfermarkt.co.uk/spvgg-greuther-furth/startseite/verein/65
165,80,vfl-bochum,Vfl Bochum,L1,45.9,30,27.2,12,40.0,5,Vonovia Ruhrstadion,27599,+£315Th.,Thomas Reis,https://www.transfermarkt.co.uk/vfl-bochum/startseite/verein/80
166,1095,es-troyes-ac,Es Troyes Ac,FR1,55.94,31,26.5,16,51.6,6,Stade de l'Aube,21877,£-19.62m,Bruno Irles,https://www.transfermarkt.co.uk/es-troyes-ac/startseite/verein/1095
170,1132,fc-burnley,Fc Burnley,GB1,114.66,26,29.6,12,46.2,9,Turf Moor,21994,£-4.86m,Mike Jackson,https://www.transfermarkt.co.uk/fc-burnley/startseite/verein/1132
173,1158,fc-lorient,Fc Lorient,FR1,50.36,27,25.9,10,37.0,5,Stade du Moustoir,19010,£-450Th.,Christophe Pélissier,https://www.transfermarkt.co.uk/fc-lorient/startseite/verein/1158
175,3522,spezia-calcio,Spezia Calcio,IT1,68.94,31,23.7,22,71.0,12,Alberto Picco,11512,£-17.65m,Thiago Motta,https://www.transfermarkt.co.uk/spezia-calcio/startseite/verein/3522
177,1420,sco-angers,Sco Angers,FR1,63.95,26,26.4,13,50.0,8,Stade Raymond Kopa,16381,+£14.67m,Gérald Baticle,https://www.transfermarkt.co.uk/sco-angers/startseite/verein/1420
178,749,fc-empoli,Fc Empoli,IT1,96.84,28,25.5,11,39.3,8,Carlo Castellani,19847,+£15.57m,Paolo Zanetti,https://www.transfermarkt.co.uk/fc-empoli/startseite/verein/749
179,276,hellas-verona,Hellas Verona,IT1,120.2,26,25.7,13,50.0,8,Marcantonio Bentegodi,39211,+£4.41m,Gabriele Cioffi,https://www.transfermarkt.co.uk/hellas-verona/startseite/verein/276
180,416,fc-turin,Fc Turin,IT1,191.61,29,25.5,19,65.5,17,Stadio Grande Torino,27994,+£2.88m,Ivan Juric,https://www.transfermarkt.co.uk/fc-turin/startseite/verein/416
181,1038,sampdoria-genua,Sampdoria Genua,IT1,77.4,26,28.2,11,42.3,8,Luigi Ferraris,36348,£-4.82m,Marco Giampaolo,https://www.transfermarkt.co.uk/sampdoria-genua/startseite/verein/1038
182,6574,us-sassuolo,Us Sassuolo,IT1,203.13,30,26.4,16,53.3,12,Mapei Stadium - Città del Tricolore,21584,£-14.13m,Alessio Dionisi,https://www.transfermarkt.co.uk/us-sassuolo/startseite/verein/6574
183,398,lazio-rom,Lazio Rom,IT1,222.98,25,27.9,19,76.0,11,Olimpico di Roma,73261,£-4.41m,Maurizio Sarri,https://www.transfermarkt.co.uk/lazio-rom/startseite/verein/398
184,800,atalanta-bergamo,Atalanta Bergamo,IT1,311.31,25,27.6,18,72.0,20,Gewiss Stadium,22512,£-16.47m,Gian Piero Gasperini,https://www.transfermarkt.co.uk/atalanta-bergamo/startseite/verein/800
185,12,as-rom,As Rom,IT1,322.52,28,25.4,18,64.3,16,Olimpico di Roma,73261,£-101.82m,José Mourinho,https://www.transfermarkt.co.uk/as-rom/startseite/verein/12
186,410,udinese-calcio,Udinese Calcio,IT1,116.78,26,26.8,21,80.8,4,Dacia Arena,25144,+£57.08m,Andrea Sottil,https://www.transfermarkt.co.uk/udinese-calcio/startseite/verein/410
187,46,inter-mailand,Inter Mailand,IT1,463.23,25,30.2,17,68.0,16,Giuseppe Meazza,75923,+£146.75m,Simone Inzaghi,https://www.transfermarkt.co.uk/inter-mailand/startseite/verein/46
188,607,venezia-fc,Venezia Fc,IT1,64.78,30,26.8,21,70.0,10,Pier Luigi Penzo,11150,£-19.70m,Ivan Javorcic,https://www.transfermarkt.co.uk/venezia-fc/startseite/verein/607
189,5,ac-mailand,Ac Mailand,IT1,470.16,27,26.9,20,74.1,17,Giuseppe Meazza,75923,£-65.88m,Stefano Pioli,https://www.transfermarkt.co.uk/ac-mailand/startseite/verein/5
192,1025,fc-bologna,Fc Bologna,IT1,130.23,29,26.1,20,69.0,12,Stadio Renato Dall’Ara,36462,£-3.43m,Siniša Mihajlović,https://www.transfermarkt.co.uk/fc-bologna/startseite/verein/1025
193,380,us-salernitana-1919,Us Salernitana 1919,IT1,59.72,35,27.4,21,60.0,8,Arechi,31300,£-12.92m,Davide Nicola,https://www.transfermarkt.co.uk/us-salernitana-1919/startseite/verein/380
204,1390,cagliari-calcio,Cagliari Calcio,IT1,95.9,27,26.3,12,44.4,6,Unipol Domus,16416,£-6.48m,Fabio Liverani,https://www.transfermarkt.co.uk/cagliari-calcio/startseite/verein/1390
205,506,juventus-turin,Juventus Turin,IT1,468.81,26,27.3,15,57.7,19,Allianz Stadium,41507,£-59.04m,Massimiliano Allegri,https://www.transfermarkt.co.uk/juventus-turin/startseite/verein/506
209,252,genua-cfc,Genua Cfc,IT1,88.52,32,25.7,17,53.1,8,Luigi Ferraris,34901,£-18.36m,Alexander Blessin,https://www.transfermarkt.co.uk/genua-cfc/startseite/verein/252
225,430,ac-florenz,Ac Florenz,IT1,200.16,25,27.1,17,68.0,13,Artemio Franchi,47282,+£39.56m,Vincenzo Italiano,https://www.transfermarkt.co.uk/ac-florenz/startseite/verein/430
226,6195,ssc-neapel,Ssc Neapel,IT1,418.91,25,27.5,18,72.0,16,Stadio Diego Armando Maradona,54726,£-17.10m,Luciano Spalletti,https://www.transfermarkt.co.uk/ssc-neapel/startseite/verein/6195
257,1123,norwich-city,Norwich City,GB1,125.19,37,25.1,23,62.2,15,Carrow Road,27244,£-23.09m,Dean Smith,https://www.transfermarkt.co.uk/norwich-city/startseite/verein/1123
258,1010,fc-watford,Fc Watford,GB1,131.22,34,27.4,29,85.3,18,Vicarage Road,21577,£-27.59m,Roy Hodgson,https://www.transfermarkt.co.uk/fc-watford/startseite/verein/1010
260,873,crystal-palace,Crystal Palace,GB1,220.59,26,27.5,14,53.8,8,Selhurst Park,26047,£-77.05m,Patrick Vieira,https://www.transfermarkt.co.uk/crystal-palace/startseite/verein/873
261,1148,fc-brentford,Fc Brentford,GB1,240.75,29,25.5,23,79.3,13,Brentford Community Stadium,17250,£-32.13m,Thomas Frank,https://www.transfermarkt.co.uk/fc-brentford/startseite/verein/1148
262,399,leeds-united,Leeds United,GB1,263.79,28,24.4,16,57.1,11,Elland Road,37890,£-53.01m,Jesse Marsch,https://www.transfermarkt.co.uk/leeds-united/startseite/verein/399
263,1237,brighton-amp-hove-albion,Brighton Amp Hove Albion,GB1,264.51,29,24.8,20,69.0,13,AMEX Stadium,31800,+£4.32m,Graham Potter,https://www.transfermarkt.co.uk/brighton-amp-hove-albion/startseite/verein/1237
265,543,wolverhampton-wanderers,Wolverhampton Wanderers,GB1,315.99,28,25.7,22,78.6,12,Molineux Stadium,32050,£-5.22m,Bruno Lage,https://www.transfermarkt.co.uk/wolverhampton-wanderers/startseite/verein/543
267,29,fc-everton,Fc Everton,GB1,353.3,28,27.5,14,50.0,10,Goodison Park,39571,+£5.85m,Frank Lampard,https://www.transfermarkt.co.uk/fc-everton/startseite/verein/29
268,180,fc-southampton,Fc Southampton,GB1,223.7,26,26.8,14,53.8,8,St Mary's Stadium,32384,+£15.54m,Ralph Hasenhüttl,https://www.transfermarkt.co.uk/fc-southampton/startseite/verein/180
270,11,fc-arsenal,Fc Arsenal,GB1,480.15,21,24.9,14,66.7,16,Emirates Stadium,60704,£-122.42m,Mikel Arteta,https://www.transfermarkt.co.uk/fc-arsenal/startseite/verein/11
271,405,aston-villa,Aston Villa,GB1,401.76,28,26.0,13,46.4,14,Villa Park,42682,£-2.54m,Steven Gerrard,https://www.transfermarkt.co.uk/aston-villa/startseite/verein/405
272,985,manchester-united,Manchester United,GB1,653.45,36,26.1,21,58.3,19,Old Trafford,74879,£-98.37m,Erik ten Hag,https://www.transfermarkt.co.uk/manchester-united/startseite/verein/985
273,631,fc-chelsea,Fc Chelsea,GB1,736.02,31,26.9,21,67.7,18,Stamford Bridge,40853,+£1.76m,Thomas Tuchel,https://www.transfermarkt.co.uk/fc-chelsea/startseite/verein/631
274,31,fc-liverpool,Fc Liverpool,GB1,820.08,33,26.5,22,66.7,20,Anfield,54074,£-53.55m,Jürgen Klopp,https://www.transfermarkt.co.uk/fc-liverpool/startseite/verein/31
275,281,manchester-city,Manchester City,GB1,832.32,22,27.8,15,68.2,18,Etihad Stadium,55017,£-36.63m,Pep Guardiola,https://www.transfermarkt.co.uk/manchester-city/startseite/verein/281
277,367,rayo-vallecano,Rayo Vallecano,ES1,54.81,23,28.1,12,52.2,4,Campo de Fútbol de Vallecas,15105,£-1.89m,Andoni Iraola,https://www.transfermarkt.co.uk/rayo-vallecano/startseite/verein/367
278,2687,fc-cadiz,Fc Cadiz,ES1,56.07,26,29.1,10,38.5,6,Nuevo Mirandilla,21094,£-5.49m,Sergio,https://www.transfermarkt.co.uk/fc-cadiz/startseite/verein/2687
280,1108,deportivo-alaves,Deportivo Alaves,ES1,51.66,26,27.2,7,26.9,2,Mendizorrotza,19840,+£2.12m,Luis García,https://www.transfermarkt.co.uk/deportivo-alaves/startseite/verein/1108
281,1003,leicester-city,Leicester City,GB1,459.95,28,27.1,18,64.3,14,King Power Stadium,32273,£-57.24m,Brendan Rodgers,https://www.transfermarkt.co.uk/leicester-city/startseite/verein/1003
282,16795,fc-granada,Fc Granada,ES1,80.46,29,27.8,13,44.8,4,Nuevo Los Cármenes,19336,£-12.11m,Aitor Karanka,https://www.transfermarkt.co.uk/fc-granada/startseite/verein/16795
283,331,ca-osasuna,Ca Osasuna,ES1,94.14,24,28.2,4,16.7,1,El Sadar,23576,£-7.83m,Jagoba Arrasate,https://www.transfermarkt.co.uk/ca-osasuna/startseite/verein/331
284,940,celta-vigo,Celta Vigo,ES1,101.88,21,28.0,9,42.9,5,Balaídos,29000,£-6.50m,Eduardo Coudet,https://www.transfermarkt.co.uk/celta-vigo/startseite/verein/940
285,714,espanyol-barcelona,Espanyol Barcelona,ES1,113.67,26,27.6,6,23.1,5,RCDE Stadium,40500,£-5.40m,Diego Martínez,https://www.transfermarkt.co.uk/espanyol-barcelona/startseite/verein/714
286,3709,fc-getafe,Fc Getafe,ES1,141.93,25,26.5,13,52.0,9,Coliseum Alfonso Pérez,16800,+£4.50m,Quique Sánchez Flores,https://www.transfermarkt.co.uk/fc-getafe/startseite/verein/3709
287,621,athletic-bilbao,Athletic Bilbao,ES1,197.37,25,26.6,0,,2,San Mamés,53289,+-0,Marcelino,https://www.transfermarkt.co.uk/athletic-bilbao/startseite/verein/621
288,762,newcastle-united,Newcastle United,GB1,267.03,30,28.3,16,53.3,10,St James' Park,52338,£-118.35m,Eddie Howe,https://www.transfermarkt.co.uk/newcastle-united/startseite/verein/762
289,1049,fc-valencia,Fc Valencia,ES1,265.05,26,24.4,17,65.4,16,Mestalla,48600,£-9.14m,Gennaro Gattuso,https://www.transfermarkt.co.uk/fc-valencia/startseite/verein/1049
290,368,fc-sevilla,Fc Sevilla,ES1,325.17,26,28.3,19,73.1,14,Ramón Sánchez-Pizjuán,43883,£-11.70m,Julen Lopetegui,https://www.transfermarkt.co.uk/fc-sevilla/startseite/verein/368
291,681,real-sociedad-san-sebastian,Real Sociedad San Sebastian,ES1,327.78,28,26.2,7,25.0,6,Reale Arena,39500,£-2.25m,Imanol Alguacil,https://www.transfermarkt.co.uk/real-sociedad-san-sebastian/startseite/verein/681
292,148,tottenham-hotspur,Tottenham Hotspur,GB1,536.22,24,25.5,16,66.7,16,Tottenham Hotspur Stadium,62062,£-55.60m,Antonio Conte,https://www.transfermarkt.co.uk/tottenham-hotspur/startseite/verein/148
293,13,atletico-madrid,Atletico Madrid,ES1,547.2,22,28.7,19,86.4,19,Wanda Metropolitano,68456,£-47.66m,Diego Simeone,https://www.transfermarkt.co.uk/atletico-madrid/startseite/verein/13
294,131,fc-barcelona,Fc Barcelona,ES1,563.4,30,25.8,15,50.0,19,Camp Nou,99354,+£945Th.,Xavi,https://www.transfermarkt.co.uk/fc-barcelona/startseite/verein/131
296,418,real-madrid,Real Madrid,ES1,675.0,26,27.5,18,69.2,15,Santiago Bernabéu,81044,+£42.30m,Carlo Ancelotti,https://www.transfermarkt.co.uk/real-madrid/startseite/verein/418
297,89,1-fc-union-berlin,1 Fc Union Berlin,L1,73.89,28,27.3,11,39.3,7,Stadion An der Alten Försterei,22012,+£1.35m,Urs Fischer,https://www.transfermarkt.co.uk/1-fc-union-berlin/startseite/verein/89
298,379,west-ham-united,West Ham United,GB1,317.03,26,28.5,17,65.4,14,London Stadium,60000,£-63.24m,David Moyes,https://www.transfermarkt.co.uk/west-ham-united/startseite/verein/379
299,167,fc-augsburg,Fc Augsburg,L1,84.33,28,26.0,17,60.7,9,WWK ARENA,30660,£-10.14m,Markus Weinzierl,https://www.transfermarkt.co.uk/fc-augsburg/startseite/verein/167
300,10,arminia-bielefeld,Arminia Bielefeld,L1,51.44,25,25.0,16,64.0,5,SchücoArena,26515,£-8.45m,Marco Kostmann,https://www.transfermarkt.co.uk/arminia-bielefeld/startseite/verein/10
