club_id,club_code,name,domestic_competition_id,stadium_name,stadium_seats
131,fc-barcelona,Fc Barcelona,ES1,Camp Nou,99354
418,real-madrid,Real Madrid,ES1,Santiago Bernabéu,81044
89,1-fc-union-berlin,1 Fc Union Berlin,L1,Stadion An der Alten Försterei,22012
379,west-ham-united,West Ham United,GB1,London Stadium,60000
167,fc-augsburg,Fc Augsburg,L1,WWK ARENA,30660
10,arminia-bielefeld,Arminia Bielefeld,L1,SchücoArena,26515
44,hertha-bsc,Hertha Bsc,L1,Olympiastadion Berlin,74649
60,sc-freiburg,Sc Freiburg,L1,Europa-Park Stadion,34700
237,rcd-mallorca,Rcd Mallorca,ES1,Son Moix,20500
1531,fc-elche,Fc Elche,ES1,Manuel Martínez Valero,33732
39,1-fsv-mainz-05,1 Fsv Mainz 05,L1,Mewa Arena,33305
3,1-fc-koln,1 Fc Koln,L1,RheinEnergieSTADION,50000
24,eintracht-frankfurt,Eintracht Frankfurt,L1,Deutsche Bank Park,51500
1050,fc-villarreal,Fc Villarreal,ES1,La Cerámica,23500
23826,rasenballsport-leipzig,Rasenballsport Leipzig,L1,Red Bull Arena,47069
82,vfl-wolfsburg,Vfl Wolfsburg,L1,Volkswagen Arena,30000
27,fc-bayern-munchen,Fc Bayern Munchen,L1,Allianz Arena,75024
79,vfb-stuttgart,Vfb Stuttgart,L1,Mercedes-Benz Arena,60449
18,borussia-monchengladbach,Borussia Monchengladbach,L1,Stadion im Borussia-Park,54022
533,tsg-1899-hoffenheim,Tsg 1899 Hoffenheim,L1,PreZero Arena,30150
3368,ud-levante,Ud Levante,ES1,Ciutat de València,25354
150,real-betis-sevilla,Real Betis Sevilla,ES1,Benito Villamarín,59378
16,borussia-dortmund,Borussia Dortmund,L1,SIGNAL IDUNA PARK,81365
15,bayer-04-leverkusen,Bayer 04 Leverkusen,L1,BayArena,30210
40,fc-girondins-bordeaux,Fc Girondins Bordeaux,FR1,Matmut Atlantique,42052
3911,stade-brest-29,Stade Brest 29,FR1,Stade Francis-Le Blé,15097
618,as-saint-etienne,As Saint Etienne,FR1,Stade Geoffroy-Guichard,42000
1082,losc-lille,Losc Lille,FR1,Stade Pierre-Mauroy,50186
995,fc-nantes,Fc Nantes,FR1,Stade de la Beaujoire,37463
244,olympique-marseille,Olympique Marseille,FR1,Orange Vélodrome,67394
273,fc-stade-rennes,Fc Stade Rennes,FR1,Roazhon Park,29778
162,as-monaco,As Monaco,FR1,Stade Louis-II,18523
826,rc-lens,Rc Lens,FR1,Stade Bollaert-Delelis,38223
969,montpellier-hsc,Montpellier Hsc,FR1,Stade de la Mosson,32939
1041,olympique-lyon,Olympique Lyon,FR1,Groupama Stadium,59186
1421,stade-reims,Stade Reims,FR1,Stade Auguste-Delaune,21684
417,ogc-nizza,Ogc Nizza,FR1,Allianz Riviera,36178
667,rc-strassburg-alsace,Rc Strassburg Alsace,FR1,Stade de la Meinau,29000
